tempObjectNumber: 75, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 1 1/16 × 1 1/16 × 1/4 in. (2.8 × 2.7 × 0.6 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.2
tempObjectNumber: 76, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 13/16 × 3 3/4 × 3/8 in. (7.2 × 9.6 × 1 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2015
tempObjectNumber: 77, Title: Carnelian ring stone,  Period: Imperial,  Date: ca. 1st –3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Length: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.48
tempObjectNumber: 78, Title: Terracotta pyxis (box),  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek South Italian Apulian Canosan,  Medium: Terracotta,  Dimensions: diameter  10 1/2 in. (26.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.253a b
tempObjectNumber: 79, Title: Terracotta group of a reclining youth woman and child,  Period: Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: Overall: 3 3/4 x 4 5/8in. (9.5 x 11.7cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.91
tempObjectNumber: 80, Title: Bronze chisel,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 10 3/8 in. (26.4 cm),  Classification: Bronzes,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.479
tempObjectNumber: 81, Title: Gold head of a lion,  Date: ca. 450–400 B.C.,  Culture: Greek Cypriot,  Medium: Gold,  Dimensions: Diam.: 7/16 in. (1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3330
tempObjectNumber: 82, Title: Lamp saucer-shaped,  Date: 4th century B.C.,  Medium: Terracotta,  Dimensions: Overall: 1 3/8 x 5 1/4 in. (3.5 x 13.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1899
tempObjectNumber: 83, Title: Terracotta squat lekythos (oil jar),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 4 3/8 in. (11.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.182
tempObjectNumber: 84, Title: Kylix fragment tondo,  Attribution: Onesimos,  Period: Archaic,  Date: ca. 510–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 1 5/8 in. (4.1 cm),  Classification: Vases,  Credit Line: Gift of Robert E. Hecht 1993,  Accession Number: 1993.444
tempObjectNumber: 85, Title: Glass square bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Other: 2 1/8in. (5.5cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.107
tempObjectNumber: 86, Title: Terracotta askos (vessel) in the form of an animal,  Period: Early Bronze Age,  Date: ca. 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 4 3/4 in. (12.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.800
tempObjectNumber: 87, Title: Vase fragment,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 11/16 × 2 3/8 × 1/4 in. (4.3 × 6 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.93
tempObjectNumber: 88, Title: Sard ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Length: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.60
tempObjectNumber: 89, Title: Terracotta lekanis (dish),  Attribution: the Stuttgart Group,  Period: Late Classical,  Date: late 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 6 1/2 in. (16.5 cm); diameter 22 13/16 in. (58 cm),  Classification: Vases,  Credit Line: Rogers Fund 1969,  Accession Number: 69.11.8
