tempObjectNumber: 1, Title: Head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.22
tempObjectNumber: 73, Title: Terracotta disk,  Period: Middle Cypriot I-II,  Date: ca. 1900–1725 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: diameter  3 3/8 in. (8.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1213
tempObjectNumber: 74, Title: Lekythos,  Attribution: the Diosphos Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; Six's technique,  Dimensions: 6 5/8in. (16.9cm),  Classification: Vases,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.29
tempObjectNumber: 75, Title: Bowl,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 5 1/2in. (14cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1204
tempObjectNumber: 76, Title: Ring,  Medium: Gold,  Dimensions: Width (bezel): 1/16 in. (0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4273
tempObjectNumber: 77, Title: Faience amulet plaque with a group of deities,  Period: Hellenistic,  Date: ca. 304–30 B.C.,  Culture: Egyptian Ptolemaic,  Medium: Clay glazed,  Dimensions: Other: 1 1/4 in. (3.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4534
tempObjectNumber: 78, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 7/16in. (6.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.377
tempObjectNumber: 79, Title: Terracotta stamnos (jar),  Attribution: the Group of Louvre F 314,  Period: Archaic,  Date: last quarter of 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 12 in. (30.5 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.51
tempObjectNumber: 80, Title: Earring delta-shaped with disc,  Dimensions: Other (fragment of hook): 1/16 in. (0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3919
tempObjectNumber: 81, Title: Ivory disk (possibly a lid),  Period: Late Cypriot II–III,  Date: ca. 1450–1050 B.C.,  Culture: Cypriot,  Medium: Ivory,  Dimensions: Diam.: 1 15/16 in. (4.9 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5219
tempObjectNumber: 82, Title: Intaglio,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 11/16 x 1/2 x 1/8 in. (1.7 x 1.2 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.916
tempObjectNumber: 83, Title: Rock crystal bead in the form of a figure-of-eight shield,  Period: Middle Minoan I-Late Minoan I,  Date: ca. 2200–1450 B.C.,  Culture: Minoan,  Medium: Rock Crystal,  Dimensions: Length: 1/2 in. (1.3 cm),  Classification: Miscellaneous-Stone,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.404
